iter	RMSE
0	7.979631209
1	7.820068331
2	7.675701208
3	7.533221215
4	7.394939356
5	7.282691863
6	7.165446222
7	7.051246911
8	6.948405198
9	6.852857629
10	6.754442226
11	6.67538602
12	6.586683557
13	6.50207921
14	6.42561016
15	6.346873286
16	6.277480863
17	6.20435546
18	6.143661723
19	6.086791514
20	6.02668364
21	5.976098996
22	5.920012971
23	5.871902964
24	5.82302609
25	5.777459288
26	5.733283646
27	5.694142368
28	5.651833353
29	5.607323644
30	5.574388837
31	5.53707604
32	5.503181547
33	5.472044576
34	5.440352863
35	5.408078481
36	5.378356192
37	5.353649648
38	5.326234632
39	5.299082583
40	5.276114974
41	5.249833704
42	5.232214217
43	5.212929737
44	5.195277911
45	5.175777688
46	5.153710792
47	5.134800885
48	5.11500904
49	5.097649683
50	5.081389873
51	5.068949357
52	5.045632058
53	5.028171544
54	5.012613134
55	4.998021445
56	4.980047932
57	4.959867524
58	4.940655006
59	4.924223067
60	4.914379277
61	4.900911661
62	4.888720688
63	4.876165294
64	4.865213055
65	4.851419315
66	4.841016226
67	4.825873625
68	4.815103315
69	4.804642749
70	4.792003215
71	4.781770965
72	4.771234903
73	4.75773051
74	4.743602496
75	4.733769619
76	4.725449218
77	4.711676487
78	4.695843205
79	4.68350743
80	4.673116093
81	4.662100407
82	4.651079445
83	4.642473156
84	4.632950968
85	4.625333828
86	4.614667439
87	4.607136563
88	4.599253029
89	4.592852329
90	4.582054385
91	4.573949648
92	4.567051119
93	4.560561758
94	4.550265427
95	4.542116266
96	4.535732294
97	4.527896305
98	4.517105095
99	4.51022446
100	4.501125013
101	4.494514033
102	4.48379742
103	4.471138307
104	4.462542441
105	4.455636295
106	4.446045081
107	4.440385413
108	4.434593024
109	4.427880497
110	4.421121448
111	4.413566942
112	4.40947239
113	4.403204472
114	4.397921145
115	4.392235302
116	4.383511793
117	4.378481183
118	4.373233675
119	4.369312284
120	4.361171021
121	4.354292755
122	4.345808252
123	4.34207972
124	4.333637299
125	4.324119298
126	4.312614475
127	4.3043608
128	4.295589717
129	4.290787143
130	4.285984534
131	4.278805754
132	4.27032457
133	4.264337043
134	4.258099342
135	4.252392915
136	4.248926123
137	4.244126726
138	4.240052623
139	4.234593163
140	4.226469944
141	4.220418022
142	4.21218139
143	4.206833552
144	4.200397781
145	4.195125182
146	4.190347679
147	4.185624681
148	4.18033225
149	4.172585921
150	4.16665738
151	4.155756134
152	4.150828144
153	4.146437895
154	4.141213616
155	4.135579451
156	4.130743547
157	4.124045727
158	4.117347963
159	4.111675363
160	4.102928318
161	4.098441813
162	4.091856698
163	4.085575606
164	4.077869573
165	4.070052913
166	4.066436012
167	4.060871688
168	4.053730801
169	4.047840835
170	4.041499993
171	4.033524305
172	4.025240942
173	4.019392562
174	4.015832197
175	4.006009384
176	3.998995131
177	3.992194782
178	3.987537537
179	3.983175661
180	3.978525513
181	3.972072498
182	3.967240808
183	3.961763967
184	3.956306962
185	3.949829218
