iter	Passed	Remaining
0	0	801
1	1	628
2	1	537
3	1	497
4	2	468
5	2	421
6	2	411
7	3	403
8	3	399
9	3	392
10	4	387
11	4	391
12	5	388
13	5	384
14	5	383
15	6	383
16	6	382
17	6	379
18	7	376
19	7	375
20	8	375
21	8	378
22	8	377
23	9	374
24	9	375
25	9	374
26	10	372
27	10	371
28	11	369
29	11	369
30	11	362
31	11	361
32	12	361
33	12	359
34	13	358
35	13	358
36	13	357
37	14	356
38	14	356
39	14	357
40	15	356
41	15	356
42	15	355
43	16	354
44	16	353
45	17	354
46	17	353
47	17	354
48	18	353
49	18	353
50	18	352
51	19	352
52	19	351
53	20	351
54	20	350
55	20	350
56	21	349
57	21	349
58	21	348
59	22	347
60	23	358
61	23	357
62	23	356
63	24	356
64	24	355
65	25	355
66	25	354
67	25	353
68	26	352
69	26	351
70	26	351
71	27	350
72	27	351
73	29	363
74	29	363
75	29	363
76	30	362
77	30	361
78	30	360
79	31	360
80	31	359
81	32	358
82	32	359
83	32	358
84	33	357
85	33	356
86	33	356
87	34	355
88	34	356
89	35	357
90	35	356
91	36	356
92	36	355
93	36	354
94	37	353
95	37	353
96	37	352
97	38	351
98	38	351
99	38	350
100	39	349
101	39	349
102	40	348
103	40	347
104	40	346
105	41	347
106	41	346
107	41	346
108	42	345
109	42	345
110	43	344
111	43	344
112	43	343
113	44	342
114	44	343
115	44	342
116	45	341
117	45	342
118	46	341
119	46	341
120	46	340
121	47	340
122	47	339
123	48	339
124	48	339
125	48	338
126	49	337
127	49	337
128	49	337
129	50	336
130	50	336
131	51	335
132	51	335
133	51	334
134	52	333
135	52	333
136	52	332
137	53	332
138	53	331
139	53	330
140	54	330
141	54	329
142	54	329
143	55	329
144	55	328
145	56	328
146	56	327
147	56	327
148	57	326
149	57	325
150	57	325
151	58	325
152	58	324
153	59	324
154	59	323
155	59	323
156	60	322
157	60	322
158	60	321
159	61	320
160	61	320
161	61	319
162	62	319
163	62	318
164	62	318
165	63	317
166	63	317
167	63	316
168	64	316
169	64	315
170	64	314
171	65	314
172	65	313
173	65	313
174	66	312
175	66	312
176	67	311
177	67	311
178	67	310
179	68	310
180	68	309
181	68	309
182	69	308
183	69	308
184	69	307
185	70	307
186	70	306
187	71	306
188	71	306
189	71	305
190	72	305
191	72	304
192	72	304
193	73	303
194	73	303
195	73	302
196	74	302
197	74	301
198	74	301
199	75	301
200	75	300
201	76	300
202	76	299
203	76	299
204	77	298
205	77	298
206	77	297
207	78	297
208	78	296
209	78	296
210	79	296
211	79	295
212	79	294
213	80	294
214	80	294
215	80	293
216	81	293
217	81	292
218	81	292
219	82	291
220	82	291
221	83	290
222	83	290
223	83	290
224	84	289
225	84	289
226	84	288
227	85	288
228	85	287
229	85	287
230	86	286
231	86	286
232	86	285
233	87	285
234	87	284
235	87	284
236	89	288
237	90	288
238	90	287
239	90	287
240	91	286
241	91	286
242	91	285
243	92	285
244	92	284
245	92	284
246	93	284
247	93	283
248	93	283
249	94	282
250	94	282
251	94	281
252	95	281
253	95	280
254	96	280
255	96	280
256	96	279
257	97	279
258	97	278
259	97	278
260	98	278
261	98	277
262	98	277
263	99	276
264	99	276
265	99	275
266	100	275
267	100	275
268	101	274
269	101	274
270	101	273
271	102	273
272	102	272
273	102	272
274	103	272
275	103	271
276	104	271
277	104	271
278	104	270
279	105	270
280	105	269
281	105	269
282	106	268
283	106	268
284	106	267
285	107	267
286	107	266
287	107	266
288	108	266
289	108	265
290	108	265
291	109	264
292	109	264
293	109	263
294	110	263
295	110	263
296	110	262
297	111	262
298	111	261
299	112	261
300	112	261
301	112	260
302	113	260
303	113	259
304	113	259
305	114	258
306	114	258
307	114	258
308	115	257
309	115	257
310	115	256
311	116	256
312	116	255
313	116	255
314	117	255
315	117	254
316	118	254
317	118	253
318	118	253
319	119	253
320	119	252
321	119	252
322	120	251
323	120	251
324	120	250
325	121	250
326	121	250
327	121	249
328	122	249
329	122	248
330	122	248
331	123	247
332	123	247
333	123	247
334	124	246
335	124	246
336	124	245
337	125	245
338	125	244
339	125	244
340	126	244
341	126	243
342	127	243
343	127	242
344	127	242
345	128	242
346	128	241
347	128	241
348	129	241
349	129	240
350	129	240
351	130	239
352	130	239
353	131	239
354	131	238
355	131	238
356	132	237
357	132	237
358	132	237
359	133	236
360	133	236
361	133	235
362	134	235
363	134	235
364	134	234
365	135	234
366	135	233
367	135	233
368	136	233
369	136	232
370	137	232
371	137	232
372	137	231
373	138	231
374	138	231
375	138	230
376	139	230
377	139	229
378	140	229
379	140	229
380	140	228
381	141	228
382	141	228
383	141	227
384	142	227
385	142	226
386	142	226
387	143	226
388	143	225
389	144	225
390	144	225
391	144	224
392	145	224
393	145	223
394	145	223
395	146	223
396	146	222
397	146	222
398	147	222
399	147	221
400	148	221
401	148	220
402	148	220
403	149	220
404	149	219
405	149	219
406	150	218
407	150	218
408	150	218
409	151	217
410	151	217
411	152	216
412	152	216
413	152	216
414	153	215
415	153	215
416	153	214
417	154	214
418	154	214
419	154	213
420	155	213
421	155	212
422	155	212
423	156	212
424	156	211
425	156	211
426	157	211
427	157	210
428	157	210
429	158	209
430	158	209
431	159	209
432	159	208
433	159	208
434	160	207
435	160	207
436	160	207
437	161	206
438	161	206
439	161	206
440	162	205
441	162	205
442	163	205
443	163	204
444	163	204
445	164	203
446	164	203
447	164	203
448	165	202
449	165	202
450	165	201
451	166	201
452	166	201
453	166	200
454	167	200
455	167	200
456	168	199
457	168	199
458	168	198
459	169	198
460	169	198
461	169	197
462	170	197
463	170	196
464	170	196
465	171	196
466	171	195
467	171	195
468	172	195
469	172	194
470	173	194
471	173	193
472	173	193
473	174	193
474	174	192
475	174	192
476	175	192
477	175	191
478	175	191
479	176	190
480	176	190
481	176	190
482	177	189
483	177	189
484	178	189
485	178	188
486	178	188
487	179	187
488	179	187
489	179	187
490	180	186
491	180	186
492	181	186
493	181	185
494	181	185
495	182	184
496	182	184
497	182	184
498	183	183
499	183	183
500	183	183
501	184	182
502	184	182
503	184	181
504	185	181
505	185	181
506	185	180
507	186	180
508	186	179
509	186	179
510	187	179
511	187	178
512	188	178
513	188	178
514	188	177
515	189	177
516	189	177
517	189	176
518	190	176
519	190	175
520	190	175
521	191	175
522	191	174
523	191	174
524	192	173
525	192	173
526	193	173
527	193	172
528	193	172
529	194	172
530	194	171
531	194	171
532	195	171
533	195	170
534	195	170
535	196	169
536	196	169
537	197	169
538	197	169
539	198	168
540	198	168
541	198	168
542	199	167
543	199	167
544	199	166
545	200	166
546	200	166
547	200	165
548	201	165
549	201	164
550	202	164
551	202	164
552	202	163
553	203	163
554	203	163
555	203	162
556	204	162
557	204	161
558	204	161
559	205	161
560	205	160
561	205	160
562	206	160
563	206	159
564	206	159
565	207	158
566	207	158
567	207	158
568	208	157
569	208	157
570	209	157
571	209	156
572	209	156
573	210	155
574	210	155
575	210	155
576	211	154
577	211	154
578	211	154
579	212	153
580	212	153
581	212	152
582	213	152
583	213	152
584	214	151
585	214	151
586	214	151
587	215	150
588	215	150
